,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-01 13:04:15.774238,"(32.25, 48.45000076293945, -1319.6259765625)","(-6.450000286102295, -6.450000286102295, -5.081999778747559)","(-5.850000381469727, -5.550000190734863, -4.355999946594238)","(27.750001907348633, 32.70000076293945, 75.98799896240234)","(-16.80000114440918, -7.350000381469727, 45.49599838256836)","(3.3000001907348633, -21.600000381469727, 51.0620002746582)","(-15.15000057220459, -45.30000305175781, 37.99399948120117)","(-24.900001525878906, -52.20000076293945, 24.200000762939453)","(-49.95000076293945, -18.75, 31.218000411987305)","(-26.100000381469727, 30.150001525878906, 21.29599952697754)"
1,2023-08-01 13:04:15.832642,"(29.850000381469727, 50.55000305175781, -1283.5679931640625)","(-6.600000381469727, -6.600000381469727, -5.323999881744385)","(-5.850000381469727, -5.400000095367432, -4.840000152587891)","(25.350000381469727, 32.55000305175781, 74.77799987792969)","(-20.55000114440918, -4.800000190734863, 45.49599838256836)","(-6.300000190734863, -21.0, 49.61000061035156)","(-19.05000114440918, -44.10000228881836, 35.57400131225586)","(-31.80000114440918, -48.30000305175781, 23.715999603271484)","(-52.80000305175781, -17.700000762939453, 28.79800033569336)","(-34.5, 34.35000228881836, 20.56999969482422)"
2,2023-08-01 13:04:15.892560,"(29.55000114440918, 50.400001525878906, -1257.6739501953125)","(-6.600000381469727, -6.450000286102295, -5.323999881744385)","(-5.400000095367432, -5.850000381469727, -4.5980000495910645)","(25.05000114440918, 33.0, 74.53600311279297)","(-20.55000114440918, -3.9000000953674316, 45.737998962402344)","(-5.850000381469727, -16.200000762939453, 51.30400085449219)","(-19.5, -43.650001525878906, 35.57400131225586)","(-32.85000228881836, -46.05000305175781, 23.23200035095215)","(-54.150001525878906, -18.0, 27.58799934387207)","(-35.25, 34.80000305175781, 18.875999450683594)"
3,2023-08-01 13:04:15.952959,"(29.700000762939453, 50.10000228881836, -1234.926025390625)","(-6.450000286102295, -6.300000190734863, -5.081999778747559)","(-6.0, -5.700000286102295, -4.355999946594238)","(24.600000381469727, 32.55000305175781, 75.0199966430664)","(-21.75, -5.550000190734863, 45.737998962402344)","(-7.350000381469727, -18.900001525878906, 48.641998291015625)","(-20.400001525878906, -43.95000076293945, 33.395999908447266)","(-33.150001525878906, -46.80000305175781, 21.053998947143555)","(-55.05000305175781, -19.5, 25.167999267578125)","(-36.150001525878906, 33.60000228881836, 15.48799991607666)"
4,2023-08-01 13:04:16.012577,"(29.55000114440918, 49.05000305175781, -1307.5260009765625)","(-6.150000095367432, -6.150000095367432, -5.323999881744385)","(-5.550000190734863, -5.550000190734863, -4.5980000495910645)","(25.350000381469727, 30.600000381469727, 72.35800170898438)","(-22.200000762939453, -6.0, 42.10799789428711)","(-7.050000190734863, -17.25, 47.43199920654297)","(-19.80000114440918, -45.30000305175781, 31.944000244140625)","(-33.0, -48.60000228881836, 17.90799903869629)","(-54.30000305175781, -18.30000114440918, 23.23200035095215)","(-36.150001525878906, 33.75, 14.519999504089355)"
5,2023-08-01 13:04:16.103425,"(30.150001525878906, 48.30000305175781, -1296.1519775390625)","(-6.450000286102295, -6.600000381469727, -5.081999778747559)","(-5.700000286102295, -5.850000381469727, -4.5980000495910645)","(25.650001525878906, 31.200000762939453, 72.11599731445312)","(-22.650001525878906, -6.300000190734863, 41.38199996948242)","(-5.700000286102295, -19.5, 45.737998962402344)","(-20.100000381469727, -45.75, 31.70199966430664)","(-33.45000076293945, -48.150001525878906, 17.90799903869629)","(-55.20000076293945, -18.900001525878906, 22.989999771118164)","(-36.60000228881836, 32.85000228881836, 13.793999671936035)"
6,2023-08-01 13:04:16.164139,"(30.000001907348633, 47.85000228881836, -1334.387939453125)","(-6.450000286102295, -6.300000190734863, -4.840000152587891)","(-5.850000381469727, -5.550000190734863, -4.355999946594238)","(25.80000114440918, 30.750001907348633, 70.18000030517578)","(-20.25, -6.750000476837158, 42.349998474121094)","(-6.0, -19.950000762939453, 46.947998046875)","(-19.200000762939453, -45.60000228881836, 32.18600082397461)","(-31.500001907348633, -47.85000228881836, 16.45599937438965)","(-53.70000076293945, -19.350000381469727, 23.23200035095215)","(-35.400001525878906, 33.45000076293945, 13.067999839782715)"
7,2023-08-01 13:04:16.223052,"(30.900001525878906, 47.85000228881836, -1219.43798828125)","(-6.450000286102295, -6.450000286102295, -5.081999778747559)","(-5.850000381469727, -5.700000286102295, -4.840000152587891)","(26.700000762939453, 31.200000762939453, 71.38999938964844)","(-19.200000762939453, -6.450000286102295, 40.89799880981445)","(-4.650000095367432, -19.5, 43.31800079345703)","(-18.0, -45.30000305175781, 33.15399932861328)","(-30.750001907348633, -49.20000076293945, 17.423999786376953)","(-51.900001525878906, -19.5, 22.989999771118164)","(-33.900001525878906, 32.400001525878906, 13.309999465942383)"
8,2023-08-01 13:04:16.283038,"(30.900001525878906, 47.70000076293945, -1285.988037109375)","(-6.450000286102295, -6.300000190734863, -5.565999984741211)","(-5.700000286102295, -5.550000190734863, -4.840000152587891)","(26.55000114440918, 31.650001525878906, 72.5999984741211)","(-19.5, -7.350000381469727, 41.624000549316406)","(-3.450000047683716, -20.100000381469727, 44.04399871826172)","(-17.700000762939453, -46.20000076293945, 32.9119987487793)","(-29.250001907348633, -49.95000076293945, 18.875999450683594)","(-51.900001525878906, -19.650001525878906, 24.68400001525879)","(-32.400001525878906, 30.750001907348633, 13.552000045776367)"
9,2023-08-01 13:04:16.342650,"(30.900001525878906, 46.35000228881836, -1256.7059326171875)","(-6.450000286102295, -6.450000286102295, -5.081999778747559)","(-5.550000190734863, -5.700000286102295, -4.5980000495910645)","(27.450000762939453, 31.05000114440918, 71.8740005493164)","(-19.200000762939453, -8.40000057220459, 42.59199905395508)","(-3.450000047683716, -20.400001525878906, 44.2859992980957)","(-16.200000762939453, -46.35000228881836, 33.395999908447266)","(-28.500001907348633, -51.150001525878906, 18.392000198364258)","(-49.650001525878906, -20.55000114440918, 25.652000427246094)","(-30.000001907348633, 28.650001525878906, 15.48799991607666)"
