,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 15:56:25.022134,"(1.9500000476837158, 45.30000305175781, 58.321998596191406)","(18.0, 72.30000305175781, 81.31199645996094)","(8.25, 41.85000228881836, 63.645999908447266)","(25.650001525878906, 54.45000076293945, 72.84200286865234)","(11.25, 48.150001525878906, 80.8280029296875)","(27.450000762939453, 40.80000305175781, 84.45800018310547)","(-41.70000076293945, -42.30000305175781, 0.48399999737739563)","(-0.15000000596046448, 12.0, 57.8380012512207)","(-54.000003814697266, 12.0, 26.378000259399414)","(-45.60000228881836, 84.0, 14.277999877929688)"
1,2023-08-02 15:56:25.082972,"(2.1000001430511475, 45.45000076293945, 58.805999755859375)","(17.850000381469727, 72.30000305175781, 81.7959976196289)","(8.25, 41.70000076293945, 63.88800048828125)","(26.250001907348633, 54.30000305175781, 70.90599822998047)","(12.300000190734863, 47.85000228881836, 82.03800201416016)","(29.55000114440918, 41.85000228881836, 81.31199645996094)","(-41.55000305175781, -42.60000228881836, 0.7260000109672546)","(-0.6000000238418579, 12.600000381469727, 59.290000915527344)","(-53.70000076293945, 12.0, 28.07200050354004)","(-46.05000305175781, 84.30000305175781, 13.793999671936035)"
2,2023-08-02 15:56:25.141814,"(1.8000000715255737, 45.30000305175781, 59.04800033569336)","(18.150001525878906, 73.5, 82.52200317382812)","(7.950000286102295, 41.10000228881836, 63.88800048828125)","(25.200000762939453, 54.000003814697266, 72.11599731445312)","(12.450000762939453, 49.35000228881836, 81.55400085449219)","(28.05000114440918, 41.400001525878906, 83.00599670410156)","(-41.55000305175781, -43.05000305175781, -0.24199999868869781)","(-1.6500000953674316, 12.300000190734863, 59.290000915527344)","(-54.150001525878906, 11.550000190734863, 26.619998931884766)","(-46.20000076293945, 85.35000610351562, 13.309999465942383)"
3,2023-08-02 15:56:25.202651,"(1.6500000953674316, 45.75, 59.04800033569336)","(17.700000762939453, 71.85000610351562, 81.31199645996094)","(8.100000381469727, 41.55000305175781, 63.645999908447266)","(25.350000381469727, 54.45000076293945, 71.8740005493164)","(11.850000381469727, 48.150001525878906, 81.55400085449219)","(27.750001907348633, 41.25, 81.7959976196289)","(-42.150001525878906, -42.60000228881836, 0.48399999737739563)","(-0.75, 13.200000762939453, 59.77399826049805)","(-54.900001525878906, 11.100000381469727, 27.58799934387207)","(-45.45000076293945, 84.75, 13.309999465942383)"
4,2023-08-02 15:56:25.262611,"(1.8000000715255737, 45.45000076293945, 58.56399917602539)","(17.850000381469727, 72.1500015258789, 80.8280029296875)","(7.950000286102295, 42.30000305175781, 64.12999725341797)","(26.100000381469727, 54.60000228881836, 72.84200286865234)","(11.40000057220459, 48.30000305175781, 81.31199645996094)","(27.600000381469727, 42.75, 87.12000274658203)","(-41.70000076293945, -42.75, 0.48399999737739563)","(-1.0500000715255737, 13.350000381469727, 58.07999801635742)","(-54.000003814697266, 11.700000762939453, 28.31399917602539)","(-46.80000305175781, 84.1500015258789, 14.03600025177002)"
5,2023-08-02 15:56:25.322460,"(1.9500000476837158, 45.900001525878906, 58.56399917602539)","(18.900001525878906, 72.30000305175781, 81.55400085449219)","(7.950000286102295, 41.400001525878906, 63.1619987487793)","(25.650001525878906, 55.650001525878906, 72.84200286865234)","(11.850000381469727, 48.45000076293945, 81.7959976196289)","(25.80000114440918, 40.80000305175781, 83.00599670410156)","(-41.55000305175781, -42.150001525878906, 0.0)","(-0.30000001192092896, 12.90000057220459, 58.56399917602539)","(-55.05000305175781, 12.15000057220459, 26.86199951171875)","(-44.85000228881836, 84.75, 12.826000213623047)"
6,2023-08-02 15:56:25.382294,"(2.700000047683716, 45.150001525878906, 58.56399917602539)","(18.30000114440918, 71.70000457763672, 81.06999969482422)","(8.100000381469727, 41.10000228881836, 63.1619987487793)","(25.05000114440918, 53.85000228881836, 73.56800079345703)","(11.550000190734863, 49.05000305175781, 80.8280029296875)","(27.450000762939453, 41.25, 85.4260025024414)","(-41.25, -41.85000228881836, 0.0)","(-0.75, 12.300000190734863, 57.8380012512207)","(-54.000003814697266, 11.850000381469727, 26.86199951171875)","(-45.30000305175781, 85.5, 12.583999633789062)"
7,2023-08-02 15:56:25.471563,"(2.4000000953674316, 46.650001525878906, 56.869998931884766)","(18.150001525878906, 72.45000457763672, 81.31199645996094)","(8.25, 41.55000305175781, 62.678001403808594)","(25.950000762939453, 55.95000076293945, 71.8740005493164)","(11.550000190734863, 49.650001525878906, 80.34400177001953)","(28.200000762939453, 41.70000076293945, 82.76399993896484)","(-41.85000228881836, -41.55000305175781, -0.48399999737739563)","(-0.6000000238418579, 13.500000953674316, 58.07999801635742)","(-53.70000076293945, 12.450000762939453, 26.619998931884766)","(-45.75, 85.95000457763672, 11.616000175476074)"
8,2023-08-02 15:56:25.502806,"(2.4000000953674316, 47.400001525878906, 54.20800018310547)","(17.850000381469727, 73.20000457763672, 79.3759994506836)","(8.25, 43.20000076293945, 60.5)","(26.100000381469727, 56.400001525878906, 70.4219970703125)","(11.850000381469727, 49.95000076293945, 78.40799713134766)","(26.400001525878906, 42.150001525878906, 81.7959976196289)","(-41.70000076293945, -39.45000076293945, -1.4520000219345093)","(-1.5, 15.000000953674316, 54.933998107910156)","(-53.85000228881836, 13.800000190734863, 24.441999435424805)","(-46.5, 87.9000015258789, 8.711999893188477)"
9,2023-08-02 15:56:25.562281,"(1.2000000476837158, 51.150001525878906, 49.61000061035156)","(17.55000114440918, 75.75, 76.2300033569336)","(7.650000095367432, 45.900001525878906, 56.62799835205078)","(24.0, 58.05000305175781, 67.03399658203125)","(11.850000381469727, 52.05000305175781, 77.197998046875)","(24.30000114440918, 45.30000305175781, 77.44000244140625)","(-43.35000228881836, -36.75, -3.388000011444092)","(-1.6500000953674316, 18.150001525878906, 51.78799819946289)","(-56.55000305175781, 17.850000381469727, 20.086000442504883)","(-47.85000228881836, 93.30000305175781, 2.6619999408721924)"
10,2023-08-02 15:56:25.652042,"(-2.700000047683716, 58.95000076293945, 38.236000061035156)","(15.600000381469727, 80.25, 70.66400146484375)","(6.150000095367432, 52.650001525878906, 50.093997955322266)","(22.05000114440918, 61.05000305175781, 61.46799850463867)","(8.100000381469727, 57.60000228881836, 69.69599914550781)","(20.25, 51.45000076293945, 65.8239974975586)","(-46.95000076293945, -29.850000381469727, -8.227999687194824)","(-6.900000095367432, 25.500001907348633, 42.83399963378906)","(-61.35000228881836, 24.0, 8.227999687194824)","(-56.55000305175781, 105.00000762939453, -12.342000007629395)"
11,2023-08-02 15:56:25.712878,"(-17.100000381469727, 82.35000610351562, 17.666000366210938)","(3.9000000953674316, 93.30000305175781, 57.354000091552734)","(-0.75, 71.10000610351562, 33.15399932861328)","(10.050000190734863, 73.80000305175781, 50.577999114990234)","(-6.600000381469727, 72.75, 54.933998107910156)","(0.15000000596046448, 67.35000610351562, 56.62799835205078)","(-67.05000305175781, -9.75, -17.90799903869629)","(-31.350000381469727, 48.60000228881836, 20.812000274658203)","(-82.95000457763672, 42.30000305175781, -8.711999893188477)","(-94.6500015258789, 141.0, -37.268001556396484)"
12,2023-08-02 15:56:25.772421,"(-72.60000610351562, 140.25, -4.840000152587891)","(-35.55000305175781, 124.95000457763672, 41.13999938964844)","(-28.650001525878906, 123.60000610351562, 13.552000045776367)","(-26.55000114440918, 98.70000457763672, 39.93000030517578)","(-58.80000305175781, 110.4000015258789, 41.624000549316406)","(-68.70000457763672, 120.30000305175781, 34.12200164794922)","(-132.0, 27.750001907348633, -24.441999435424805)","(-118.05000305175781, 104.70000457763672, 10.64799976348877)","(-150.60000610351562, 72.1500015258789, -22.506000518798828)","(-239.10000610351562, 214.8000030517578, -34.847999572753906)"
13,2023-08-02 15:56:25.833261,"(-118.95000457763672, 165.90000915527344, -14.03600025177002)","(-73.05000305175781, 149.25, 26.619998931884766)","(-59.250003814697266, 168.15000915527344, -3.1459999084472656)","(-63.750003814697266, 116.85000610351562, 27.104000091552734)","(-113.25000762939453, 140.85000610351562, 26.378000259399414)","(-169.95001220703125, 184.0500030517578, 17.90799903869629)","(-188.10000610351562, 44.400001525878906, -27.58799934387207)","(-222.90000915527344, 149.40000915527344, -9.680000305175781)","(-208.65000915527344, 85.95000457763672, -27.829999923706055)","(-390.9000244140625, 254.25001525878906, -43.31800079345703)"
14,2023-08-02 15:56:25.892103,"(-119.10000610351562, 158.5500030517578, -1.9359999895095825)","(-73.80000305175781, 145.95001220703125, 36.05799865722656)","(-59.10000228881836, 160.5, 8.953999519348145)","(-64.20000457763672, 112.80000305175781, 34.36399841308594)","(-114.45000457763672, 135.60000610351562, 36.05799865722656)","(-168.75, 179.10000610351562, 25.167999267578125)","(-186.75, 37.5, -22.74799919128418)","(-219.75001525878906, 140.25, 6.533999919891357)","(-206.25001525878906, 78.9000015258789, -20.086000442504883)","(-378.0, 236.5500030517578, -25.167999267578125)"
15,2023-08-02 15:56:25.952565,"(-122.55000305175781, 161.25, -2.4200000762939453)","(-76.6500015258789, 146.5500030517578, 37.75199890136719)","(-60.750003814697266, 160.65000915527344, 11.616000175476074)","(-65.85000610351562, 112.80000305175781, 35.09000015258789)","(-115.50000762939453, 135.15000915527344, 37.75199890136719)","(-168.45001220703125, 175.0500030517578, 36.54199981689453)","(-189.0, 39.0, -22.989999771118164)","(-220.50001525878906, 138.75, 10.406000137329102)","(-207.90000915527344, 80.10000610351562, -19.601999282836914)","(-379.95001220703125, 237.3000030517578, -22.506000518798828)"
16,2023-08-02 15:56:26.012404,"(-124.05000305175781, 163.5, -5.081999778747559)","(-76.80000305175781, 148.8000030517578, 37.0260009765625)","(-61.500003814697266, 163.0500030517578, 8.953999519348145)","(-67.05000305175781, 115.05000305175781, 33.63800048828125)","(-118.20000457763672, 138.0, 36.784000396728516)","(-172.5, 179.25, 30.492000579833984)","(-190.5, 40.650001525878906, -23.715999603271484)","(-225.3000030517578, 142.5, 7.501999855041504)","(-210.3000030517578, 81.30000305175781, -21.780000686645508)","(-387.0000305175781, 242.10000610351562, -27.104000091552734)"
17,2023-08-02 15:56:26.072189,"(-122.10000610351562, 162.90000915527344, -7.259999752044678)","(-75.75, 148.5, 34.36399841308594)","(-61.20000076293945, 164.25, 7.501999855041504)","(-66.0, 114.9000015258789, 33.395999908447266)","(-116.10000610351562, 138.60000610351562, 35.332000732421875)","(-169.20001220703125, 184.20001220703125, 30.492000579833984)","(-189.45001220703125, 42.150001525878906, -24.200000762939453)","(-223.8000030517578, 144.0, 6.291999816894531)","(-209.85000610351562, 82.05000305175781, -22.02199935913086)","(-385.6500244140625, 245.40000915527344, -29.281999588012695)"
18,2023-08-02 15:56:26.132518,"(-120.00000762939453, 161.85000610351562, -5.808000087738037)","(-74.85000610351562, 147.60000610351562, 34.60599899291992)","(-59.70000076293945, 161.85000610351562, 7.259999752044678)","(-64.80000305175781, 115.20000457763672, 33.880001068115234)","(-115.20000457763672, 138.15000915527344, 35.09000015258789)","(-168.3000030517578, 183.3000030517578, 29.281999588012695)","(-188.10000610351562, 40.5, -24.441999435424805)","(-220.35000610351562, 143.85000610351562, 4.5980000495910645)","(-207.90000915527344, 81.75, -21.29599952697754)","(-380.4000244140625, 245.40000915527344, -30.492000579833984)"
19,2023-08-02 15:56:26.193356,"(-117.9000015258789, 160.5, -5.808000087738037)","(-72.0, 147.3000030517578, 35.81599807739258)","(-58.80000305175781, 162.15000915527344, 6.776000022888184)","(-63.30000305175781, 114.75000762939453, 34.12200164794922)","(-113.70000457763672, 138.0, 35.332000732421875)","(-164.85000610351562, 181.5, 27.104000091552734)","(-186.15000915527344, 40.95000076293945, -24.200000762939453)","(-217.65000915527344, 143.40000915527344, 4.5980000495910645)","(-207.75001525878906, 81.9000015258789, -22.263999938964844)","(-377.1000061035156, 245.25001525878906, -31.218000411987305)"
20,2023-08-02 15:56:26.252197,"(-116.10000610351562, 160.0500030517578, -4.113999843597412)","(-72.45000457763672, 146.10000610351562, 37.0260009765625)","(-57.60000228881836, 161.40000915527344, 7.01800012588501)","(-62.400001525878906, 114.30000305175781, 34.36399841308594)","(-110.85000610351562, 137.10000610351562, 35.332000732421875)","(-163.0500030517578, 180.0, 33.63800048828125)","(-184.35000610351562, 40.05000305175781, -23.95800018310547)","(-213.45001220703125, 142.35000610351562, 5.323999881744385)","(-205.0500030517578, 82.05000305175781, -21.538000106811523)","(-371.5500183105469, 243.60000610351562, -30.007999420166016)"
21,2023-08-02 15:56:26.342899,"(-114.60000610351562, 159.15000915527344, -4.355999946594238)","(-70.95000457763672, 146.5500030517578, 37.5099983215332)","(-56.400001525878906, 160.0500030517578, 10.890000343322754)","(-61.20000076293945, 113.25000762939453, 35.57400131225586)","(-108.9000015258789, 135.90000915527344, 37.5099983215332)","(-157.5, 178.35000610351562, 31.944000244140625)","(-181.95001220703125, 39.30000305175781, -23.23200035095215)","(-210.45001220703125, 140.85000610351562, 7.501999855041504)","(-203.70001220703125, 81.9000015258789, -18.875999450683594)","(-366.6000061035156, 242.10000610351562, -29.03999900817871)"
22,2023-08-02 15:56:26.402740,"(-112.95000457763672, 153.0, 0.24199999868869781)","(-69.1500015258789, 144.3000030517578, 37.268001556396484)","(-56.10000228881836, 155.85000610351562, 11.857999801635742)","(-60.45000076293945, 111.60000610351562, 36.05799865722656)","(-108.1500015258789, 132.90000915527344, 38.47800064086914)","(-156.60000610351562, 175.20001220703125, 29.52400016784668)","(-179.40000915527344, 35.400001525878906, -21.780000686645508)","(-207.00001525878906, 137.40000915527344, 7.74399995803833)","(-199.35000610351562, 78.45000457763672, -18.634000778198242)","(-358.5, 233.40000915527344, -30.007999420166016)"
23,2023-08-02 15:56:26.462580,"(-95.85000610351562, 135.3000030517578, 7.74399995803833)","(-57.60000228881836, 133.95001220703125, 42.59199905395508)","(-46.95000076293945, 138.75, 15.729999542236328)","(-48.45000076293945, 104.70000457763672, 39.6879997253418)","(-91.6500015258789, 120.9000015258789, 40.65599822998047)","(-130.0500030517578, 158.40000915527344, 30.97599983215332)","(-159.75, 24.600000381469727, -20.327999114990234)","(-176.40000915527344, 119.10000610351562, 11.616000175476074)","(-180.0, 70.6500015258789, -14.519999504089355)","(-306.45001220703125, 210.60000610351562, -35.09000015258789)"
24,2023-08-02 15:56:26.522419,"(-62.70000076293945, 106.05000305175781, 18.875999450683594)","(-33.900001525878906, 116.85000610351562, 48.15800094604492)","(-27.900001525878906, 109.50000762939453, 22.02199935913086)","(-26.250001907348633, 92.55000305175781, 45.49599838256836)","(-56.400001525878906, 100.80000305175781, 46.947998046875)","(-77.85000610351562, 122.4000015258789, 36.05799865722656)","(-119.55000305175781, 5.700000286102295, -15.48799991607666)","(-117.00000762939453, 90.30000305175781, 12.342000007629395)","(-141.0, 55.650001525878906, -5.808000087738037)","(-210.45001220703125, 172.0500030517578, -32.18600082397461)"
25,2023-08-02 15:56:26.582831,"(-30.000001907348633, 77.70000457763672, 34.36399841308594)","(-9.0, 98.4000015258789, 60.742000579833984)","(-9.600000381469727, 78.0, 35.57400131225586)","(-1.6500000953674316, 76.6500015258789, 54.20800018310547)","(-22.650001525878906, 78.45000457763672, 58.321998596191406)","(-25.200000762939453, 87.45000457763672, 47.91600036621094)","(-81.30000305175781, -15.300000190734863, -10.163999557495117)","(-57.000003814697266, 55.35000228881836, 27.829999923706055)","(-97.50000762939453, 38.10000228881836, 6.050000190734863)","(-122.70000457763672, 131.70001220703125, -16.214000701904297)"
26,2023-08-02 15:56:26.642689,"(-9.450000762939453, 59.10000228881836, 46.947998046875)","(8.100000381469727, 83.85000610351562, 69.93799591064453)","(1.8000000715255737, 57.150001525878906, 49.125999450683594)","(15.300000190734863, 65.4000015258789, 63.40399932861328)","(-0.45000001788139343, 61.80000305175781, 68.48600006103516)","(11.100000381469727, 61.20000076293945, 65.33999633789062)","(-55.95000076293945, -29.850000381469727, -5.323999881744385)","(-20.25, 32.55000305175781, 42.349998474121094)","(-70.80000305175781, 23.850000381469727, 16.45599937438965)","(-70.95000457763672, 104.4000015258789, -1.4520000219345093)"
27,2023-08-02 15:56:26.702527,"(-1.0500000715255737, 51.150001525878906, 53.23999786376953)","(14.850000381469727, 78.0, 76.2300033569336)","(6.150000095367432, 48.30000305175781, 57.11199951171875)","(22.80000114440918, 59.55000305175781, 68.00199890136719)","(7.950000286102295, 54.30000305175781, 75.0199966430664)","(20.850000381469727, 47.10000228881836, 73.08399963378906)","(-45.900001525878906, -36.900001525878906, -2.9040000438690186)","(-7.050000190734863, 21.150001525878906, 50.81999969482422)","(-60.000003814697266, 17.700000762939453, 22.263999938964844)","(-53.250003814697266, 93.0, 5.565999984741211)"
