,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:04:31.650757,"(2.5500001907348633, 44.25, 59.53200149536133)","(19.950000762939453, 71.10000610351562, 82.52200317382812)","(8.700000762939453, 39.30000305175781, 64.12999725341797)","(26.850000381469727, 52.80000305175781, 74.052001953125)","(13.800000190734863, 46.35000228881836, 81.7959976196289)","(28.950000762939453, 35.10000228881836, 87.60399627685547)","(-40.80000305175781, -45.60000228881836, 0.9679999947547913)","(1.0500000715255737, 7.050000190734863, 58.56399917602539)","(-52.80000305175781, 7.950000286102295, 28.555999755859375)","(-44.55000305175781, 80.70000457763672, 14.277999877929688)"
1,2023-08-02 16:04:31.681679,"(3.0, 43.80000305175781, 60.01599884033203)","(19.650001525878906, 70.95000457763672, 83.9739990234375)","(8.850000381469727, 40.650001525878906, 64.37200164794922)","(27.000001907348633, 52.20000076293945, 74.052001953125)","(13.050000190734863, 46.05000305175781, 82.76399993896484)","(28.80000114440918, 36.0, 84.21599578857422)","(-40.20000076293945, -45.30000305175781, 0.48399999737739563)","(1.350000023841858, 7.350000381469727, 60.01599884033203)","(-52.650001525878906, 9.15000057220459, 28.07200050354004)","(-45.45000076293945, 80.70000457763672, 13.309999465942383)"
2,2023-08-02 16:04:31.736261,"(3.0, 43.80000305175781, 59.77399826049805)","(20.100000381469727, 70.5, 82.52200317382812)","(8.700000762939453, 39.45000076293945, 64.61399841308594)","(26.400001525878906, 51.60000228881836, 74.052001953125)","(13.200000762939453, 46.20000076293945, 81.7959976196289)","(29.100000381469727, 35.400001525878906, 81.31199645996094)","(-40.20000076293945, -46.80000305175781, 0.9679999947547913)","(1.350000023841858, 7.350000381469727, 58.56399917602539)","(-52.95000076293945, 8.850000381469727, 27.829999923706055)","(-44.55000305175781, 79.35000610351562, 14.03600025177002)"
3,2023-08-02 16:04:31.830460,"(2.25, 43.5, 60.5)","(20.55000114440918, 70.6500015258789, 83.48999786376953)","(9.300000190734863, 39.60000228881836, 65.58200073242188)","(26.850000381469727, 52.20000076293945, 73.32599639892578)","(12.750000953674316, 46.20000076293945, 82.03800201416016)","(28.80000114440918, 36.150001525878906, 83.00599670410156)","(-40.5, -45.75, 0.7260000109672546)","(0.6000000238418579, 7.050000190734863, 59.77399826049805)","(-53.250003814697266, 8.100000381469727, 29.03999900817871)","(-44.400001525878906, 79.6500015258789, 12.826000213623047)"
4,2023-08-02 16:04:31.860511,"(3.1500000953674316, 43.35000228881836, 60.01599884033203)","(20.700000762939453, 70.20000457763672, 83.24800109863281)","(9.300000190734863, 39.45000076293945, 64.12999725341797)","(28.05000114440918, 52.05000305175781, 74.29399871826172)","(13.050000190734863, 46.5, 82.52200317382812)","(30.000001907348633, 35.400001525878906, 82.76399993896484)","(-40.20000076293945, -45.75, 0.7260000109672546)","(0.45000001788139343, 6.900000095367432, 58.805999755859375)","(-52.35000228881836, 8.550000190734863, 27.829999923706055)","(-44.25, 80.25, 13.552000045776367)"
5,2023-08-02 16:04:31.979439,"(2.4000000953674316, 43.95000076293945, 59.290000915527344)","(20.700000762939453, 70.5, 83.00599670410156)","(8.40000057220459, 39.900001525878906, 65.0979995727539)","(27.450000762939453, 51.150001525878906, 73.80999755859375)","(13.800000190734863, 46.35000228881836, 82.03800201416016)","(27.900001525878906, 35.85000228881836, 82.52200317382812)","(-40.95000076293945, -45.60000228881836, 0.48399999737739563)","(0.6000000238418579, 6.900000095367432, 58.805999755859375)","(-53.10000228881836, 8.850000381469727, 27.58799934387207)","(-45.0, 80.25, 13.309999465942383)"
6,2023-08-02 16:04:31.984253,"(1.8000000715255737, 43.95000076293945, 59.04800033569336)","(19.200000762939453, 70.05000305175781, 83.48999786376953)","(9.15000057220459, 40.05000305175781, 63.40399932861328)","(26.700000762939453, 52.500003814697266, 73.08399963378906)","(12.750000953674316, 46.5, 82.27999877929688)","(28.500001907348633, 36.150001525878906, 83.24800109863281)","(-41.10000228881836, -45.30000305175781, 0.7260000109672546)","(0.30000001192092896, 7.050000190734863, 59.77399826049805)","(-53.70000076293945, 8.100000381469727, 27.829999923706055)","(-45.75, 80.25, 12.583999633789062)"
7,2023-08-02 16:04:32.041323,"(0.9000000357627869, 44.10000228881836, 58.07999801635742)","(18.75, 71.25, 81.55400085449219)","(7.800000190734863, 40.20000076293945, 63.40399932861328)","(25.650001525878906, 52.500003814697266, 73.56800079345703)","(11.550000190734863, 46.5, 80.8280029296875)","(25.350000381469727, 34.650001525878906, 82.27999877929688)","(-42.150001525878906, -45.150001525878906, 0.24199999868869781)","(-2.1000001430511475, 7.350000381469727, 60.01599884033203)","(-55.35000228881836, 9.15000057220459, 27.58799934387207)","(-47.25, 81.0, 11.857999801635742)"
8,2023-08-02 16:04:32.100897,"(-1.350000023841858, 44.70000076293945, 57.59600067138672)","(16.650001525878906, 72.0, 82.52200317382812)","(7.350000381469727, 41.400001525878906, 62.194000244140625)","(24.600000381469727, 53.10000228881836, 73.56800079345703)","(10.050000190734863, 47.55000305175781, 81.31199645996094)","(26.250001907348633, 36.150001525878906, 84.45800018310547)","(-43.95000076293945, -44.70000076293945, -0.24199999868869781)","(-3.1500000953674316, 7.800000190734863, 56.869998931884766)","(-56.70000076293945, 10.050000190734863, 24.926000595092773)","(-49.95000076293945, 81.0, 11.616000175476074)"
9,2023-08-02 16:04:32.245250,"(-3.1500000953674316, 45.900001525878906, 54.69200134277344)","(15.15000057220459, 72.60000610351562, 80.8280029296875)","(6.150000095367432, 40.95000076293945, 62.43600082397461)","(22.5, 52.500003814697266, 72.5999984741211)","(8.100000381469727, 46.95000076293945, 79.3759994506836)","(23.25, 38.10000228881836, 79.3759994506836)","(-46.95000076293945, -44.400001525878906, -0.7260000109672546)","(-6.900000095367432, 7.800000190734863, 56.38600158691406)","(-59.400001525878906, 9.600000381469727, 25.893999099731445)","(-54.150001525878906, 80.70000457763672, 9.680000305175781)"
10,2023-08-02 16:04:32.280409,"(-9.450000762939453, 45.900001525878906, 52.513999938964844)","(10.350000381469727, 73.05000305175781, 77.68199920654297)","(3.450000047683716, 41.70000076293945, 58.805999755859375)","(18.600000381469727, 53.250003814697266, 70.18000030517578)","(3.450000047683716, 46.95000076293945, 77.68199920654297)","(19.200000762939453, 38.25, 81.31199645996094)","(-52.35000228881836, -44.70000076293945, -1.9359999895095825)","(-12.15000057220459, 6.900000095367432, 54.69200134277344)","(-65.10000610351562, 8.550000190734863, 23.23200035095215)","(-60.60000228881836, 79.35000610351562, 6.291999816894531)"
11,2023-08-02 16:04:32.311327,"(-19.650001525878906, 43.5, 49.36800003051758)","(2.8500001430511475, 70.6500015258789, 75.74600219726562)","(-1.0500000715255737, 39.45000076293945, 56.38600158691406)","(12.15000057220459, 51.750003814697266, 68.24400329589844)","(-3.750000238418579, 45.0, 75.0199966430664)","(6.750000476837158, 35.400001525878906, 76.47200012207031)","(-60.000003814697266, -48.750003814697266, -3.388000011444092)","(-23.100000381469727, 4.350000381469727, 50.81999969482422)","(-71.85000610351562, 5.100000381469727, 19.360000610351562)","(-72.0, 72.0, 2.6619999408721924)"
