,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 15:58:58.291998,"(4.050000190734863, 41.25, 60.01599884033203)","(19.350000381469727, 69.75, 82.76399993896484)","(9.15000057220459, 37.95000076293945, 65.0979995727539)","(26.700000762939453, 51.900001525878906, 74.53600311279297)","(13.350000381469727, 45.0, 82.27999877929688)","(26.850000381469727, 37.20000076293945, 86.87799835205078)","(-40.05000305175781, -46.5, 0.48399999737739563)","(0.9000000357627869, 8.40000057220459, 58.805999755859375)","(-52.500003814697266, 7.050000190734863, 27.58799934387207)","(-43.95000076293945, 79.35000610351562, 15.003999710083008)"
1,2023-08-02 15:58:58.351599,"(3.9000000953674316, 41.25, 59.53200149536133)","(19.350000381469727, 69.0, 82.76399993896484)","(8.700000762939453, 37.95000076293945, 64.37200164794922)","(27.30000114440918, 51.60000228881836, 74.29399871826172)","(13.500000953674316, 44.70000076293945, 82.76399993896484)","(26.850000381469727, 36.45000076293945, 83.00599670410156)","(-39.75, -46.20000076293945, 0.24199999868869781)","(1.350000023841858, 8.550000190734863, 58.56399917602539)","(-52.20000076293945, 7.200000286102295, 27.58799934387207)","(-43.95000076293945, 79.95000457763672, 13.793999671936035)"
2,2023-08-02 15:58:58.412243,"(3.450000047683716, 41.400001525878906, 59.53200149536133)","(19.200000762939453, 69.30000305175781, 81.7959976196289)","(8.850000381469727, 37.5, 63.88800048828125)","(26.850000381469727, 51.60000228881836, 73.56800079345703)","(14.100000381469727, 45.45000076293945, 82.03800201416016)","(29.400001525878906, 39.0, 84.69999694824219)","(-39.900001525878906, -46.35000228881836, 0.24199999868869781)","(1.350000023841858, 8.550000190734863, 58.805999755859375)","(-52.650001525878906, 6.900000095367432, 27.58799934387207)","(-44.25, 79.95000457763672, 14.03600025177002)"
3,2023-08-02 15:58:58.501733,"(3.9000000953674316, 40.95000076293945, 59.53200149536133)","(20.100000381469727, 69.9000015258789, 82.27999877929688)","(9.15000057220459, 37.80000305175781, 63.645999908447266)","(26.250001907348633, 51.60000228881836, 73.80999755859375)","(13.65000057220459, 45.30000305175781, 81.55400085449219)","(27.900001525878906, 36.45000076293945, 84.69999694824219)","(-39.0, -46.35000228881836, 0.24199999868869781)","(1.350000023841858, 9.0, 57.11199951171875)","(-52.20000076293945, 7.650000095367432, 27.104000091552734)","(-44.400001525878906, 79.20000457763672, 13.793999671936035)"
4,2023-08-02 15:58:58.531668,"(3.9000000953674316, 41.55000305175781, 58.321998596191406)","(19.200000762939453, 69.0, 81.7959976196289)","(9.0, 37.5, 63.40399932861328)","(27.600000381469727, 51.30000305175781, 73.08399963378906)","(13.350000381469727, 45.60000228881836, 81.55400085449219)","(27.30000114440918, 37.5, 82.52200317382812)","(-39.0, -46.05000305175781, 0.0)","(1.2000000476837158, 9.15000057220459, 59.290000915527344)","(-52.35000228881836, 7.650000095367432, 27.104000091552734)","(-43.95000076293945, 79.95000457763672, 15.003999710083008)"
5,2023-08-02 15:58:58.589059,"(3.750000238418579, 41.85000228881836, 58.56399917602539)","(20.400001525878906, 69.30000305175781, 81.7959976196289)","(9.15000057220459, 37.95000076293945, 64.37200164794922)","(26.400001525878906, 51.750003814697266, 72.35800170898438)","(13.500000953674316, 45.0, 82.03800201416016)","(26.55000114440918, 36.45000076293945, 84.45800018310547)","(-40.05000305175781, -46.20000076293945, 0.0)","(1.0500000715255737, 8.40000057220459, 59.290000915527344)","(-52.35000228881836, 7.200000286102295, 27.34600067138672)","(-43.95000076293945, 79.5, 13.309999465942383)"
6,2023-08-02 15:58:58.652133,"(3.9000000953674316, 42.0, 57.8380012512207)","(19.950000762939453, 69.30000305175781, 82.27999877929688)","(9.15000057220459, 37.35000228881836, 63.88800048828125)","(27.30000114440918, 52.05000305175781, 72.5999984741211)","(13.500000953674316, 46.05000305175781, 81.55400085449219)","(29.55000114440918, 37.35000228881836, 80.8280029296875)","(-39.150001525878906, -45.150001525878906, 0.0)","(1.0500000715255737, 9.600000381469727, 58.07999801635742)","(-52.80000305175781, 7.650000095367432, 26.619998931884766)","(-43.95000076293945, 80.55000305175781, 12.583999633789062)"
7,2023-08-02 15:58:58.711484,"(4.050000190734863, 43.650001525878906, 56.14400100708008)","(19.200000762939453, 71.10000610351562, 80.8280029296875)","(9.0, 39.900001525878906, 61.22599792480469)","(27.30000114440918, 52.80000305175781, 70.66400146484375)","(13.65000057220459, 47.400001525878906, 80.10199737548828)","(27.450000762939453, 38.85000228881836, 79.61799621582031)","(-40.20000076293945, -43.650001525878906, -1.2100000381469727)","(0.0, 9.600000381469727, 56.14400100708008)","(-52.95000076293945, 9.600000381469727, 23.715999603271484)","(-44.55000305175781, 82.6500015258789, 9.437999725341797)"
8,2023-08-02 15:58:58.772351,"(3.750000238418579, 49.35000228881836, 48.88399887084961)","(18.900001525878906, 74.10000610351562, 76.95600128173828)","(8.700000762939453, 43.35000228881836, 56.62799835205078)","(26.100000381469727, 56.55000305175781, 67.76000213623047)","(12.0, 51.30000305175781, 75.98799896240234)","(27.450000762939453, 45.150001525878906, 76.47200012207031)","(-41.70000076293945, -37.650001525878906, -5.081999778747559)","(0.0, 16.5, 50.33599853515625)","(-54.45000076293945, 16.650001525878906, 16.45599937438965)","(-46.35000228881836, 92.10000610351562, -0.7260000109672546)"
9,2023-08-02 15:58:58.831522,"(2.4000000953674316, 64.05000305175781, 34.12200164794922)","(19.05000114440918, 83.85000610351562, 67.76000213623047)","(8.850000381469727, 56.70000076293945, 44.77000045776367)","(24.600000381469727, 66.30000305175781, 60.01599884033203)","(10.800000190734863, 63.150001525878906, 65.58200073242188)","(27.750001907348633, 57.30000305175781, 69.4540023803711)","(-45.0, -20.100000381469727, -11.616000175476074)","(-2.5500001907348633, 34.20000076293945, 35.332000732421875)","(-60.45000076293945, 36.150001525878906, 1.2100000381469727)","(-51.150001525878906, 122.10000610351562, -25.167999267578125)"
