,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:10:18.960022,"(4.5, 47.400001525878906, 59.04800033569336)","(20.55000114440918, 73.20000457763672, 82.76399993896484)","(9.450000762939453, 42.30000305175781, 65.0979995727539)","(27.600000381469727, 54.900001525878906, 73.56800079345703)","(14.250000953674316, 49.05000305175781, 82.76399993896484)","(29.55000114440918, 39.45000076293945, 81.55400085449219)","(-39.75, -42.150001525878906, 0.24199999868869781)","(1.6500000953674316, 10.200000762939453, 59.290000915527344)","(-52.80000305175781, 12.0, 28.07200050354004)","(-43.80000305175781, 84.45000457763672, 12.826000213623047)"
1,2023-08-02 16:10:19.019444,"(4.5, 47.70000076293945, 59.290000915527344)","(20.55000114440918, 73.35000610351562, 82.76399993896484)","(9.450000762939453, 43.35000228881836, 64.12999725341797)","(28.350000381469727, 55.650001525878906, 73.56800079345703)","(13.950000762939453, 49.650001525878906, 81.7959976196289)","(29.55000114440918, 40.5, 84.69999694824219)","(-40.05000305175781, -42.150001525878906, 0.48399999737739563)","(1.5, 10.350000381469727, 57.8380012512207)","(-51.900001525878906, 12.750000953674316, 29.03999900817871)","(-43.95000076293945, 84.75, 13.793999671936035)"
2,2023-08-02 16:10:19.079859,"(5.25, 47.25, 59.53200149536133)","(20.850000381469727, 74.10000610351562, 83.00599670410156)","(9.90000057220459, 42.75, 65.0979995727539)","(27.900001525878906, 55.20000076293945, 74.29399871826172)","(14.550000190734863, 49.650001525878906, 81.55400085449219)","(30.000001907348633, 39.45000076293945, 83.73200225830078)","(-39.0, -42.75, 0.7260000109672546)","(2.25, 11.100000381469727, 59.77399826049805)","(-52.35000228881836, 12.450000762939453, 28.31399917602539)","(-43.650001525878906, 84.75, 14.519999504089355)"
3,2023-08-02 16:10:19.139587,"(4.350000381469727, 47.25, 59.77399826049805)","(21.600000381469727, 72.9000015258789, 82.27999877929688)","(9.90000057220459, 42.45000076293945, 64.61399841308594)","(27.000001907348633, 55.20000076293945, 74.53600311279297)","(13.65000057220459, 48.45000076293945, 82.76399993896484)","(30.30000114440918, 37.95000076293945, 83.00599670410156)","(-39.150001525878906, -42.0, 0.9679999947547913)","(1.8000000715255737, 12.0, 58.805999755859375)","(-51.45000076293945, 12.600000381469727, 28.07200050354004)","(-42.60000228881836, 85.20000457763672, 14.277999877929688)"
4,2023-08-02 16:10:19.200472,"(4.200000286102295, 47.400001525878906, 59.77399826049805)","(20.850000381469727, 74.10000610351562, 82.76399993896484)","(9.600000381469727, 42.900001525878906, 64.85600280761719)","(27.450000762939453, 55.35000228881836, 73.56800079345703)","(14.550000190734863, 48.750003814697266, 82.03800201416016)","(29.400001525878906, 38.25, 85.4260025024414)","(-39.60000228881836, -42.45000076293945, 0.7260000109672546)","(3.3000001907348633, 10.5, 60.5)","(-51.30000305175781, 12.450000762939453, 28.555999755859375)","(-43.5, 83.55000305175781, 12.826000213623047)"
5,2023-08-02 16:10:19.284147,"(4.200000286102295, 47.25, 59.53200149536133)","(20.400001525878906, 72.75, 83.00599670410156)","(9.300000190734863, 43.5, 63.645999908447266)","(27.450000762939453, 54.900001525878906, 73.08399963378906)","(14.100000381469727, 49.35000228881836, 82.52200317382812)","(29.400001525878906, 39.75, 83.24800109863281)","(-40.35000228881836, -42.150001525878906, 0.9679999947547913)","(2.700000047683716, 11.40000057220459, 59.77399826049805)","(-52.20000076293945, 13.350000381469727, 28.07200050354004)","(-43.35000228881836, 84.60000610351562, 14.277999877929688)"
6,2023-08-02 16:10:19.349694,"(4.050000190734863, 47.70000076293945, 59.290000915527344)","(21.150001525878906, 73.95000457763672, 83.48999786376953)","(9.600000381469727, 42.60000228881836, 63.40399932861328)","(27.750001907348633, 55.05000305175781, 74.29399871826172)","(14.40000057220459, 48.750003814697266, 83.00599670410156)","(31.05000114440918, 38.70000076293945, 83.9739990234375)","(-40.05000305175781, -42.30000305175781, 0.7260000109672546)","(2.1000001430511475, 10.5, 58.56399917602539)","(-51.30000305175781, 12.90000057220459, 27.58799934387207)","(-43.35000228881836, 83.85000610351562, 14.03600025177002)"
7,2023-08-02 16:10:19.410539,"(4.5, 48.0, 59.04800033569336)","(20.55000114440918, 73.35000610351562, 82.76399993896484)","(9.0, 43.650001525878906, 64.12999725341797)","(28.05000114440918, 55.500003814697266, 74.53600311279297)","(14.550000190734863, 49.05000305175781, 83.24800109863281)","(27.750001907348633, 40.05000305175781, 83.24800109863281)","(-39.30000305175781, -42.30000305175781, 0.7260000109672546)","(2.4000000953674316, 10.5, 58.805999755859375)","(-52.35000228881836, 12.300000190734863, 29.03999900817871)","(-44.10000228881836, 83.70000457763672, 12.826000213623047)"
8,2023-08-02 16:10:19.469556,"(3.9000000953674316, 47.10000228881836, 59.290000915527344)","(21.0, 74.25, 82.52200317382812)","(9.300000190734863, 42.45000076293945, 64.37200164794922)","(28.200000762939453, 54.60000228881836, 73.08399963378906)","(14.550000190734863, 49.500003814697266, 82.27999877929688)","(29.700000762939453, 40.05000305175781, 85.18399810791016)","(-39.45000076293945, -42.30000305175781, 0.24199999868869781)","(2.4000000953674316, 11.40000057220459, 58.805999755859375)","(-52.20000076293945, 11.550000190734863, 28.555999755859375)","(-43.80000305175781, 83.55000305175781, 13.552000045776367)"
9,2023-08-02 16:10:19.529397,"(4.350000381469727, 47.70000076293945, 59.290000915527344)","(21.150001525878906, 73.6500015258789, 83.00599670410156)","(9.450000762939453, 43.05000305175781, 64.12999725341797)","(28.05000114440918, 55.650001525878906, 75.26200103759766)","(14.850000381469727, 48.900001525878906, 82.52200317382812)","(26.850000381469727, 38.70000076293945, 84.45800018310547)","(-39.0, -42.150001525878906, 0.24199999868869781)","(1.5, 11.25, 59.04800033569336)","(-51.150001525878906, 12.300000190734863, 27.58799934387207)","(-42.150001525878906, 83.85000610351562, 14.03600025177002)"
