,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:01:41.671895,"(5.100000381469727, 38.10000228881836, 60.01599884033203)","(21.75, 66.60000610351562, 84.45800018310547)","(9.90000057220459, 34.650001525878906, 65.58200073242188)","(28.650001525878906, 48.150001525878906, 75.26200103759766)","(14.850000381469727, 42.150001525878906, 83.9739990234375)","(29.250001907348633, 33.45000076293945, 88.81400299072266)","(-38.55000305175781, -51.000003814697266, 1.2100000381469727)","(3.1500000953674316, 2.25, 60.257999420166016)","(-50.10000228881836, 2.5500001907348633, 29.03999900817871)","(-42.45000076293945, 75.45000457763672, 15.003999710083008)"
1,2023-08-02 16:01:41.731744,"(5.25, 38.400001525878906, 60.98400115966797)","(21.450000762939453, 66.30000305175781, 84.45800018310547)","(10.350000381469727, 34.80000305175781, 65.33999633789062)","(28.500001907348633, 47.400001525878906, 73.56800079345703)","(15.300000190734863, 41.85000228881836, 83.24800109863281)","(28.650001525878906, 31.950000762939453, 85.66799926757812)","(-38.55000305175781, -50.400001525878906, 1.2100000381469727)","(1.8000000715255737, 1.8000000715255737, 60.98400115966797)","(-50.55000305175781, 3.750000238418579, 29.281999588012695)","(-42.45000076293945, 74.4000015258789, 15.003999710083008)"
2,2023-08-02 16:01:41.791690,"(4.650000095367432, 38.70000076293945, 59.77399826049805)","(20.55000114440918, 66.1500015258789, 84.45800018310547)","(9.75, 35.55000305175781, 65.58200073242188)","(28.950000762939453, 47.85000228881836, 75.0199966430664)","(15.000000953674316, 41.70000076293945, 82.52200317382812)","(30.000001907348633, 32.400001525878906, 82.52200317382812)","(-38.70000076293945, -50.400001525878906, 1.4520000219345093)","(3.1500000953674316, 1.8000000715255737, 59.77399826049805)","(-50.10000228881836, 3.1500000953674316, 28.79800033569336)","(-41.70000076293945, 74.4000015258789, 15.003999710083008)"
3,2023-08-02 16:01:41.851293,"(4.650000095367432, 39.0, 60.742000579833984)","(21.900001525878906, 67.20000457763672, 84.45800018310547)","(9.90000057220459, 35.400001525878906, 65.58200073242188)","(28.500001907348633, 48.30000305175781, 74.29399871826172)","(15.600000381469727, 42.0, 82.03800201416016)","(33.30000305175781, 35.25, 83.9739990234375)","(-37.95000076293945, -50.85000228881836, 1.2100000381469727)","(2.8500001430511475, 1.6500000953674316, 60.01599884033203)","(-50.70000076293945, 2.8500001430511475, 30.492000579833984)","(-42.30000305175781, 74.55000305175781, 15.48799991607666)"
4,2023-08-02 16:01:41.911335,"(5.25, 38.85000228881836, 60.742000579833984)","(20.850000381469727, 66.9000015258789, 83.48999786376953)","(9.450000762939453, 35.55000305175781, 65.0979995727539)","(28.650001525878906, 47.85000228881836, 74.052001953125)","(14.700000762939453, 42.150001525878906, 83.73200225830078)","(29.400001525878906, 31.80000114440918, 85.90999603271484)","(-37.80000305175781, -50.55000305175781, 1.4520000219345093)","(2.700000047683716, 2.5500001907348633, 59.53200149536133)","(-50.85000228881836, 2.5500001907348633, 29.281999588012695)","(-42.150001525878906, 74.4000015258789, 15.003999710083008)"
5,2023-08-02 16:01:41.971615,"(4.950000286102295, 39.0, 60.98400115966797)","(21.150001525878906, 67.05000305175781, 84.94200134277344)","(9.600000381469727, 35.25, 65.0979995727539)","(29.250001907348633, 48.900001525878906, 75.0199966430664)","(14.100000381469727, 41.70000076293945, 83.00599670410156)","(29.250001907348633, 29.55000114440918, 87.84600067138672)","(-38.10000228881836, -50.70000076293945, 1.4520000219345093)","(2.25, 1.8000000715255737, 59.77399826049805)","(-50.250003814697266, 3.0, 29.03999900817871)","(-42.30000305175781, 75.0, 13.793999671936035)"
6,2023-08-02 16:01:42.085022,"(5.25, 38.70000076293945, 61.22599792480469)","(19.950000762939453, 66.75, 83.00599670410156)","(9.75, 36.0, 64.37200164794922)","(28.650001525878906, 47.55000305175781, 74.77799987792969)","(14.700000762939453, 42.75, 83.48999786376953)","(30.600000381469727, 32.70000076293945, 86.39399719238281)","(-37.650001525878906, -50.70000076293945, 0.48399999737739563)","(2.5500001907348633, 1.9500000476837158, 59.290000915527344)","(-50.70000076293945, 3.6000001430511475, 29.03999900817871)","(-42.75, 73.95000457763672, 15.003999710083008)"
7,2023-08-02 16:01:42.121889,"(5.100000381469727, 39.0, 61.709999084472656)","(21.150001525878906, 67.35000610351562, 82.76399993896484)","(10.050000190734863, 35.55000305175781, 65.58200073242188)","(27.900001525878906, 48.45000076293945, 74.77799987792969)","(14.700000762939453, 42.150001525878906, 83.00599670410156)","(31.80000114440918, 35.10000228881836, 85.18399810791016)","(-38.55000305175781, -50.400001525878906, 1.2100000381469727)","(2.4000000953674316, 1.6500000953674316, 59.53200149536133)","(-50.250003814697266, 3.3000001907348633, 28.79800033569336)","(-42.30000305175781, 74.70000457763672, 15.246000289916992)"
8,2023-08-02 16:01:42.180956,"(4.950000286102295, 38.70000076293945, 60.01599884033203)","(20.25, 67.35000610351562, 83.24800109863281)","(9.90000057220459, 36.0, 65.0979995727539)","(28.80000114440918, 47.55000305175781, 75.26200103759766)","(16.05000114440918, 42.900001525878906, 82.27999877929688)","(30.450000762939453, 33.30000305175781, 83.73200225830078)","(-38.55000305175781, -50.85000228881836, 0.48399999737739563)","(2.5500001907348633, 2.25, 59.77399826049805)","(-50.400001525878906, 2.700000047683716, 28.555999755859375)","(-42.150001525878906, 75.1500015258789, 14.76200008392334)"
9,2023-08-02 16:01:42.241424,"(4.650000095367432, 38.85000228881836, 60.01599884033203)","(21.30000114440918, 66.9000015258789, 84.21599578857422)","(9.75, 36.45000076293945, 66.06600189208984)","(28.950000762939453, 48.30000305175781, 74.29399871826172)","(15.300000190734863, 41.70000076293945, 82.27999877929688)","(30.900001525878906, 32.70000076293945, 85.18399810791016)","(-38.55000305175781, -50.10000228881836, 0.7260000109672546)","(2.25, 2.25, 58.805999755859375)","(-49.650001525878906, 4.200000286102295, 30.007999420166016)","(-42.45000076293945, 75.60000610351562, 13.309999465942383)"
10,2023-08-02 16:01:42.301666,"(5.25, 39.30000305175781, 59.290000915527344)","(21.0, 66.9000015258789, 83.24800109863281)","(10.200000762939453, 35.25, 64.37200164794922)","(28.80000114440918, 49.05000305175781, 73.80999755859375)","(15.000000953674316, 42.900001525878906, 82.76399993896484)","(29.850000381469727, 32.10000228881836, 83.73200225830078)","(-38.10000228881836, -50.55000305175781, 0.7260000109672546)","(3.3000001907348633, 3.1500000953674316, 58.07999801635742)","(-50.250003814697266, 3.750000238418579, 27.104000091552734)","(-41.400001525878906, 75.1500015258789, 13.067999839782715)"
