,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:07:59.041007,"(2.5500001907348633, 43.80000305175781, 62.194000244140625)","(19.80000114440918, 70.95000457763672, 84.69999694824219)","(9.0, 38.85000228881836, 66.55000305175781)","(27.30000114440918, 51.60000228881836, 75.26200103759766)","(12.90000057220459, 46.80000305175781, 84.21599578857422)","(26.700000762939453, 36.0, 85.90999603271484)","(-40.5, -46.05000305175781, 1.2100000381469727)","(1.5, 5.850000381469727, 61.95199966430664)","(-53.10000228881836, 8.40000057220459, 31.459999084472656)","(-44.85000228881836, 79.6500015258789, 16.940000534057617)"
1,2023-08-02 16:07:59.099869,"(3.0, 43.05000305175781, 61.95199966430664)","(19.5, 70.6500015258789, 85.66799926757812)","(8.25, 39.45000076293945, 67.51799774169922)","(26.55000114440918, 52.35000228881836, 75.0199966430664)","(13.200000762939453, 46.650001525878906, 84.45800018310547)","(28.950000762939453, 35.400001525878906, 85.66799926757812)","(-40.20000076293945, -45.45000076293945, 1.694000005722046)","(0.6000000238418579, 7.200000286102295, 61.22599792480469)","(-52.05000305175781, 8.850000381469727, 29.766000747680664)","(-45.0, 79.05000305175781, 16.940000534057617)"
2,2023-08-02 16:07:59.187147,"(3.1500000953674316, 43.5, 62.194000244140625)","(19.80000114440918, 70.35000610351562, 84.45800018310547)","(9.0, 38.85000228881836, 67.51799774169922)","(27.30000114440918, 51.900001525878906, 75.98799896240234)","(14.100000381469727, 46.20000076293945, 83.48999786376953)","(29.100000381469727, 36.0, 86.87799835205078)","(-40.80000305175781, -46.35000228881836, 2.177999973297119)","(1.9500000476837158, 7.050000190734863, 62.678001403808594)","(-52.650001525878906, 8.550000190734863, 29.281999588012695)","(-44.70000076293945, 79.35000610351562, 16.214000701904297)"
3,2023-08-02 16:07:59.280155,"(2.8500001430511475, 43.95000076293945, 64.12999725341797)","(20.850000381469727, 70.35000610351562, 85.18399810791016)","(8.850000381469727, 39.150001525878906, 67.2760009765625)","(27.30000114440918, 52.20000076293945, 76.71399688720703)","(13.800000190734863, 45.75, 85.90999603271484)","(26.700000762939453, 35.70000076293945, 84.21599578857422)","(-39.900001525878906, -46.20000076293945, 1.9359999895095825)","(0.9000000357627869, 6.300000190734863, 61.46799850463867)","(-53.250003814697266, 7.950000286102295, 31.944000244140625)","(-44.70000076293945, 78.60000610351562, 16.697999954223633)"
4,2023-08-02 16:07:59.310078,"(2.25, 43.5, 62.678001403808594)","(19.650001525878906, 70.6500015258789, 84.69999694824219)","(9.15000057220459, 39.150001525878906, 66.06600189208984)","(26.100000381469727, 52.500003814697266, 75.74600219726562)","(13.200000762939453, 46.95000076293945, 83.73200225830078)","(29.850000381469727, 35.55000305175781, 86.87799835205078)","(-40.35000228881836, -46.20000076293945, 1.694000005722046)","(0.30000001192092896, 7.200000286102295, 61.22599792480469)","(-53.250003814697266, 8.25, 30.97599983215332)","(-45.150001525878906, 79.35000610351562, 17.18199920654297)"
5,2023-08-02 16:07:59.370305,"(3.1500000953674316, 43.05000305175781, 61.46799850463867)","(19.950000762939453, 70.5, 84.21599578857422)","(8.700000762939453, 39.900001525878906, 66.30799865722656)","(27.150001525878906, 52.35000228881836, 76.47200012207031)","(13.500000953674316, 46.5, 84.45800018310547)","(27.450000762939453, 35.70000076293945, 84.69999694824219)","(-40.5, -45.900001525878906, 1.2100000381469727)","(1.6500000953674316, 7.800000190734863, 60.5)","(-52.500003814697266, 7.800000190734863, 31.218000411987305)","(-44.10000228881836, 79.35000610351562, 15.246000289916992)"
6,2023-08-02 16:07:59.430149,"(3.1500000953674316, 43.20000076293945, 61.95199966430664)","(19.650001525878906, 70.5, 84.94200134277344)","(8.700000762939453, 39.900001525878906, 65.8239974975586)","(26.250001907348633, 52.650001525878906, 76.47200012207031)","(13.050000190734863, 46.05000305175781, 83.24800109863281)","(27.600000381469727, 36.30000305175781, 88.33000183105469)","(-40.5, -46.05000305175781, 1.9359999895095825)","(1.350000023841858, 5.550000190734863, 61.46799850463867)","(-51.30000305175781, 8.700000762939453, 30.492000579833984)","(-44.85000228881836, 79.6500015258789, 15.972000122070312)"
7,2023-08-02 16:07:59.490539,"(3.3000001907348633, 43.650001525878906, 61.95199966430664)","(20.25, 70.80000305175781, 84.94200134277344)","(9.0, 39.60000228881836, 66.30799865722656)","(27.000001907348633, 52.05000305175781, 75.98799896240234)","(13.500000953674316, 46.05000305175781, 82.27999877929688)","(29.400001525878906, 37.80000305175781, 87.12000274658203)","(-40.35000228881836, -46.20000076293945, 1.694000005722046)","(1.2000000476837158, 7.200000286102295, 61.22599792480469)","(-52.650001525878906, 8.25, 30.492000579833984)","(-44.70000076293945, 79.95000457763672, 16.45599937438965)"
8,2023-08-02 16:07:59.550158,"(3.1500000953674316, 43.650001525878906, 60.742000579833984)","(20.400001525878906, 70.5, 85.18399810791016)","(9.0, 39.150001525878906, 66.06600189208984)","(27.30000114440918, 52.650001525878906, 75.0199966430664)","(14.550000190734863, 46.5, 84.94200134277344)","(28.80000114440918, 36.60000228881836, 85.66799926757812)","(-39.900001525878906, -46.05000305175781, 1.694000005722046)","(1.350000023841858, 7.350000381469727, 61.46799850463867)","(-52.05000305175781, 8.850000381469727, 30.25)","(-43.5, 79.5, 15.003999710083008)"
9,2023-08-02 16:07:59.610271,"(4.200000286102295, 43.20000076293945, 60.01599884033203)","(19.950000762939453, 70.5, 84.21599578857422)","(9.300000190734863, 39.60000228881836, 65.58200073242188)","(27.150001525878906, 52.35000228881836, 75.0199966430664)","(13.950000762939453, 45.75, 80.58599853515625)","(28.500001907348633, 36.60000228881836, 90.50800323486328)","(-39.900001525878906, -45.60000228881836, 1.2100000381469727)","(1.350000023841858, 8.100000381469727, 59.77399826049805)","(-52.650001525878906, 8.25, 29.281999588012695)","(-43.95000076293945, 80.10000610351562, 14.519999504089355)"
